
### `shared_context_test_data.csv`

Save the following as `shared_context_test_data.csv`:

```csv
id,type,source_user_id,content,artifact_type,source_record_ids,created_at
C001,chat,John,"I finished setting up Google OAuth authentication. The login flow and callback are working locally.",,,"2026-08-29T09:00:00"
C002,chat,Mary,"I'm currently working on the authentication flow. I've got the Google OAuth login working, but I haven't finished the callback handling yet.",,,"2026-08-28T15:00:00"
C003,chat,Mary,"I finished the Expense API. It currently supports GET, POST, and DELETE for expenses.",,,"2026-08-29T10:00:00"
C004,artifact,Mary,"Expense API documentation: GET /expenses retrieves expenses; POST /expenses creates an expense; DELETE /expenses/:id removes an expense. Responses are JSON.",documentation,,"2026-08-29T10:15:00"
C005,chat,Mary,"The balance calculation is currently blocked because I'm not sure whether pending expenses should be included.",,,"2026-08-29T11:00:00"
C006,chat,John,"I think we should use PostgreSQL for the database because the relational structure fits the project.",,,"2026-08-28T13:00:00"
C007,chat,Mary,"I thought we had decided to use MongoDB. I already started setting up the MongoDB connection.",,,"2026-08-28T14:00:00"
C008,artifact,,"Conflict detected: John proposed PostgreSQL while Mary proceeded with MongoDB. The database decision is unresolved.",conflict,"C006,C007","2026-08-29T11:15:00"
C009,chat,Bob,"I'm starting work on the dashboard once the Expense API is ready.",,,"2026-08-28T16:00:00"
C010,chat,John,"Authentication is required before users can access their expenses.",,,"2026-08-28T10:00:00"
C011,chat,Mary,"The dashboard should display total expenses and current balance.",,,"2026-08-28T17:00:00"
C012,chat,John,"I haven't started the dashboard yet.",,,"2026-08-28T18:00:00"
C013,chat,Bob,"I can take over the balance calculation if nobody else is working on it.",,,"2026-08-29T12:00:00"
C014,chat,Mary,"The balance calculation should probably be income minus expenses, but I'm waiting for the team to confirm how pending expenses should work.",,,"2026-08-29T11:30:00"
C015,artifact,Mary,"Expense API handoff notes: implementation is complete. The API is ready for consumers. The dashboard can begin integrating with it.",handoff,,"2026-08-29T10:30:00"
C016,chat,John,"The authentication implementation is complete and ready for integration.",,,"2026-08-29T09:30:00"
